圧入管理差分データ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファイル名：,PIN_****,,,*には保存順が入る,,,,,,,,,,,,,,,,,,,
ファイル形式：,バイナリデータ,,,,,,,,,,,,,,,,,,,,,,
ファイル拡張子：,bin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
名称,BYTE,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0,備考,,,,,,,,,,,,,
,48,下位 8bit,,,,,,,,,27,00,47,2F,,,,,,,,,
オーガトルク,49,上位 8bit,,,,,,,,オーガ回転トルク　（単位：kN･m）,28,00,48,30,,,,,,,,,
,50,下位 8bit,,,,,,,,,29,00,49,31,,,,,,,,,
チャックトルク,51,上位 8bit,,,,,,,,チャック回転トルク　（単位：kN･m）,30,00,50,32,,,,,,,,,
,52,下位 8bit,,,,,,,,,31,00,51,33,,,,,,,,,
オーガ推力,53,上位 8bit,,,,,,,,オーガ上下推力　（単位：x10kN）,32,00,52,34,,,,,,,,,
,54,下位 8bit,,,,,,,,,33,00,53,35,,,,,,,,,
ケーシング推力,55,上位 8bit,,,,,,,,ケーシングチャック上下推力　（単位：x10kN）,34,00,54,36,,,,,,,,,
,56,下位 8bit,,,,,,,,,35,00,55,37,,,,,,,,,
オーガストローク,57,上位 8bit,,,,,,,,オーガ上下ストローク　（単位：mm）,36,00,56,38,,,,,,,,,
,58,下位 8bit,,,,,,,,,37,00,57,39,,,,,,,,,
ケーシングストローク,59,上位 8bit,,,,,,,,ケーシングチャック上下ストローク　（単位：mm）,38,00,58,3A,,,,,,,,,
,60,下位 8bit,,,,,,,,,39,00,59,3B,,,,,,,,,
チャック上下スピード,61,上位 8bit,,,,,,,,チャック上下速度　（単位：1/10 m/min）,40,00,60,3C,,,,,,,,,
,62,下位 8bit,,,,,,,,,41,00,61,3D,,,,,,,,,
オーガ上下スピード,63,上位 8bit,,,,,,,,オーガ上下速度　（単位：1/10 m/min）,42,00,62,3E,,,,,,,,,
,64,下位 8bit,,,,,,,,,43,00,63,3F,,,,,,,,,
ケーシング上下スピード,65,上位 8bit,,,,,,,,ケーシングチャック上下速度　（単位：1/10 m/min）,44,00,64,40,,,,,,,,,
,66,下位 8bit,,,,,,,,,45,00,65,41,,,,,,,,,
オーガ回転スピード,67,上位 8bit,,,,,,,,オーガ回転スピード　（単位：1/10min-1）,46,00,66,42,,,,,,,,,
,68,下位 8bit,,,,,,,,,47,00,67,43,,,,,,,,,
チャック回転スピード,69,上位 8bit,,,,,,,,チャック回転スピード　（単位：1/10min-1）,48,00,68,44,,,,,,,,,
,70,下位 8bit,,,,,,,,,49,00,69,45,,,,,,,,,
パイラー傾斜X,71,符号(-),上位 7bit,,,,,,,パイラー前後傾斜　（単位：1/10度）,50,00,70,46,,,,,,,,,
,72,下位 8bit,,,,,,,,,51,02,71,47,,,,,,,,,
パイラー傾斜Y,73,符号(-),上位 7bit,,,,,,,パイラー左右傾斜　（単位：1/10度）,52,00,72,48,,,,,,,,,
,74,下位 8bit,,,,,,,,,53,03,73,49,,,,,,,,,
杭傾斜X,75,符号(-),上位 7bit,,,,,,,杭前後傾斜　（単位：1/10度）,54,00,74,4A,,,,,,,,,
,76,下位 8bit,,,,,,,,,55,00,75,4B,,,,,,,,,
杭傾斜Y,77,符号(-),上位 7bit,,,,,,,杭左右傾斜　（単位：1/10度）,56,00,76,4C,,,,,,,,,
,78,下位 8bit,,,,,,,,,57,00,77,4D,,,,,,,,,
馬力,79,上位 8bit,,,,,,,,パワーユニットエンジン出力馬力　（単位：PS）,58,00,78,4E,,,,,,,,,
,80,下位 8bit,,,,,,,,,59,00,79,4F,,,,,,,,,
圧入力設定,81,上位 8bit,,,,,,,,設定圧入力　（単位x10kN）,60,00,80,50,,,,,,,,,
,82,下位 8bit,,,,,,,,,61,14,81,51,,,,,,,,,
圧入ストローク設定,83,上位 8bit,,,,,,,,設定圧入ストローク　（単位：mm）,62,00,82,52,,,,,,,,,
,84,下位 8bit,,,,,,,,,63,01,83,53,,,,,,,,,
引抜ストローク設定,85,上位 8bit,,,,,,,,設定引抜ストローク　（単位：mm）,64,00,84,54,,,,,,,,,
,86,下位 8bit,,,,,,,,,65,00,85,55,,,,,,,,,
