項目,値
機種名,SY75
号機,5001
年,2026
月,4
日,15
時,7
分,30
秒,53
--- GPS ---,
GPS測位時刻,073146
GPS緯度,3331.0558N
GPS経度,13335.4984E
GPS測位状態,2
GPS衛星数,10
