soil_category,n_value_bin,sample_count,confidence,a1_圧入力設定_recommended,a1_圧入力設定_mean,a1_圧入力設定_min,a1_圧入力設定_max,a2_圧入力下限設定_recommended,a2_圧入力下限設定_mean,a2_圧入力下限設定_min,a2_圧入力下限設定_max,b1_圧入ストローク設定_recommended,b1_圧入ストローク設定_mean,b1_圧入ストローク設定_min,b1_圧入ストローク設定_max,b2_引抜ストローク設定_recommended,b2_引抜ストローク設定_mean,b2_引抜ストローク設定_min,b2_引抜ストローク設定_max,c1_機械前後傾斜制限設定_recommended,c1_機械前後傾斜制限設定_mean,c1_機械前後傾斜制限設定_min,c1_機械前後傾斜制限設定_max,c2_機械左右傾斜制限設定_recommended,c2_機械左右傾斜制限設定_mean,c2_機械左右傾斜制限設定_min,c2_機械左右傾斜制限設定_max,d4_チャック上スピード設定_recommended,d4_チャック上スピード設定_mean,d4_チャック上スピード設定_min,d4_チャック上スピード設定_max,d5_チャック下スピード設定_recommended,d5_チャック下スピード設定_mean,d5_チャック下スピード設定_min,d5_チャック下スピード設定_max,g1_オーガ正転トルク設定_recommended,g1_オーガ正転トルク設定_mean,g1_オーガ正転トルク設定_min,g1_オーガ正転トルク設定_max,g2_オーガ正転トルク下限設定_recommended,g2_オーガ正転トルク下限設定_mean,g2_オーガ正転トルク下限設定_min,g2_オーガ正転トルク下限設定_max,g3_オーガ逆転トルク設定_recommended,g3_オーガ逆転トルク設定_mean,g3_オーガ逆転トルク設定_min,g3_オーガ逆転トルク設定_max,g9_オーガ正転スピード設定_recommended,g9_オーガ正転スピード設定_mean,g9_オーガ正転スピード設定_min,g9_オーガ正転スピード設定_max,g10_オーガ逆転スピード設定_recommended,g10_オーガ逆転スピード設定_mean,g10_オーガ逆転スピード設定_min,g10_オーガ逆転スピード設定_max,h1_チャック正転トルク設定_recommended,h1_チャック正転トルク設定_mean,h1_チャック正転トルク設定_min,h1_チャック正転トルク設定_max,h2_チャック正転トルク下限設定_recommended,h2_チャック正転トルク下限設定_mean,h2_チャック正転トルク下限設定_min,h2_チャック正転トルク下限設定_max,h3_チャック逆転トルク設定_recommended,h3_チャック逆転トルク設定_mean,h3_チャック逆転トルク設定_min,h3_チャック逆転トルク設定_max,h7_チャック正転スピード設定_recommended,h7_チャック正転スピード設定_mean,h7_チャック正転スピード設定_min,h7_チャック正転スピード設定_max,h8_チャック逆転スピード設定_recommended,h8_チャック逆転スピード設定_mean,h8_チャック逆転スピード設定_min,h8_チャック逆転スピード設定_max,i1a_設定水量LS_A_recommended,i1a_設定水量LS_A_mean,i1a_設定水量LS_A_min,i1a_設定水量LS_A_max,i1b_設定水量LS_B_recommended,i1b_設定水量LS_B_mean,i1b_設定水量LS_B_min,i1b_設定水量LS_B_max,i1c_設定水量LS_C_recommended,i1c_設定水量LS_C_mean,i1c_設定水量LS_C_min,i1c_設定水量LS_C_max,i1d_設定水量LS_D_recommended,i1d_設定水量LS_D_mean,i1d_設定水量LS_D_min,i1d_設定水量LS_D_max
シルト質土,N=0-2,1,低,0.0,0.0,0.0,0.0,258.0,258.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,32770.0,32770.0,32770.0,32770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,251.0,251.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
シルト質土,N=4-8,2,低,700.0,350.0,0.0,700.0,0.0,5.0,0.0,10.0,1.0,385.0,1.0,769.0,0.0,25.0,0.0,50.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,3.0,0.0,20.0,0.0,40.0,0.0,7.5,0.0,15.0,0.0,7.5,0.0,15.0,0.0,125.0,0.0,250.0,0.0,50.0,0.0,100.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,50.0,25.0,0.0,50.0,30.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
シルト質土,N=8-15,2,低,200.0,100.0,0.0,200.0,0.0,49.5,0.0,99.0,1.0,0.5,0.0,1.0,0.0,1664.0,0.0,3328.0,99.0,48.5,-2.0,99.0,99.0,49.5,0.0,99.0,5.0,2.5,0.0,5.0,3.0,127.0,3.0,251.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,99.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,110.0,55.0,0.0,110.0,30.0,15.0,0.0,30.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
シルト質土,N≥15,4,中,0.0,210.0,0.0,530.0,0.0,256.75,0.0,770.0,1.0,3.5,0.0,12.0,0.0,832.0,0.0,3328.0,99.0,50.0,0.0,99.0,99.0,49.5,-2.0,99.0,5.0,2.5,0.0,5.0,4.0,2.0,0.0,4.0,0.0,832.0,0.0,3328.0,0.0,89.0,0.0,257.0,0.0,832.0,0.0,3328.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,110.0,62.0,0.0,110.0,30.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,99.0,0.0,0.25,0.0,1.0,0.0,25.25,0.0,99.0
埋土,N=0-50+,2,低,700.0,11998.0,700.0,23296.0,0.0,16385.0,0.0,32770.0,1.0,11777.0,1.0,23553.0,0.0,2.0,0.0,4.0,99.0,49.5,0.0,99.0,99.0,49.5,0.0,99.0,5.0,2.5,0.0,5.0,3.0,1.5,0.0,3.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,256.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,15.0,7.5,0.0,15.0,30.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
礫質土,N=0-10,2,低,99.0,399.5,99.0,700.0,17408.0,8704.0,0.0,17408.0,258.0,129.5,1.0,258.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,99.0,112.0,105.5,99.0,112.0,0.0,2.5,0.0,5.0,0.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,17679.0,8839.5,0.0,17679.0,257.0,128.5,0.0,257.0,256.0,128.0,0.0,256.0,1695.0,847.5,0.0,1695.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,14.0,62.0,14.0,110.0,56832.0,28431.0,30.0,56832.0,70.0,35.0,0.0,70.0,0.0,0.0,0.0,0.0,71.0,35.5,0.0,71.0,250.0,125.0,0.0,250.0
礫質土,N=10-30,1,低,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,110.0,110.0,110.0,110.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
礫質土,N≥50,3,中,700.0,440.0,200.0,700.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,5.0,5.0,5.0,3.0,3.33,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,10.0,10.0,10.0,10.0,900.0,900.0,900.0,900.0,110.0,78.33,15.0,110.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
